Photo Number,When (Date),Where (Six Mile Creek vs. Denman Creek),Time of Day,Organism Type
1,6/1/21,Six Mile Creek,12:00 AM,Raccoon
2,6/1/21,Six Mile Creek,2:00 AM,Raccoon
3,6/3/21,Den Man Creek,10:00 AM,Deer
4,6/8/21,Den Man Creek,10:00 AM,Deer
5,6/14/21,Den Man Creek,5:00 PM,Bird
6,6/13/21,Six Mile Creek,2:00 PM,Bird
7,6/13/21,Six Mile Creek,2:00 PM,Bunny
8,6/13/21,Six Mile Creek,1:00 PM,Bunny
9,6/13/21,Six Mile Creek,1:00 PM,Muskrat
10,6/13/21,Six Mile Creek,1:00 PM,Bunny
11,6/13/21,Six Mile Creek,12:00 PM,Bunny
12,6/13/21,Six Mile Creek,10:00 AM,Bird
13,6/13/21,Six Mile Creek,9:00 AM,Bird
14,6/13/21,Six Mile Creek,8:00 AM,Chipmunk
15,6/13/21,Six Mile Creek,2:00 AM,Mouse
16,6/12/21,Six Mile Creek,10:00 PM,Mouse
17,6/12/21,Six Mile Creek,6:00 PM,Bird
18,6/12/21,Six Mile Creek,3:00 PM,Bird
19,6/12/21,Six Mile Creek,1:00 PM,Squirrel
20,6/12/21,Six Mile Creek,11:00 AM,Bird
21,6/12/21,Six Mile Creek,12:00 AM,Mouse
22,6/11/21,Six Mile Creek,11:00 PM,Opossum
23,6/11/21,Six Mile Creek,10:00 PM,Raccoon
24,6/11/21,Six Mile Creek,10:00 PM,Mouse
25,6/11/21,Six Mile Creek,8:00 PM,Raccoon
26,6/11/21,Six Mile Creek,7:00 PM,Bird
27,6/13/21,Six Mile Creek,2:00 PM,Bunny
28,6/10/21,Six Mile Creek,12:00 PM,Bird
29,6/10/21,Six Mile Creek,12:00 PM,Bird
30,6/10/21,Six Mile Creek,3:00 PM,Bird
31,6/10/21,Six Mile Creek,5:00 PM,Bird
32,6/10/21,Six Mile Creek,5:00 PM,Chipmunk
33,6/10/21,Six Mile Creek,11:00 PM,Mouse
34,6/11/21,Six Mile Creek,11:00 AM,Chipmunk
35,6/11/21,Six Mile Creek,7:00 AM,Raccoon
36,6/11/21,Six Mile Creek,8:00 AM,Chipmunk 
37,6/11/21,Six Mile Creek,11:00 AM,Bird
38,6/11/21,Six Mile Creek,2:00 PM,Bird
39,6/11/21,Six Mile Creek,2:00 PM,Bird
40,6/11/21,Six Mile Creek,3:00 PM,Bird
41,6/11/21,Six Mile Creek,4:00 PM,Bunny
42,6/11/21,Six Mile Creek,4:00 PM,Bunny
43,6/11/21,Six Mile Creek,4:00 PM,Squirrel
44,6/11/21,Six Mile Creek,4:00 PM,Bird
45,6/11/21,Six Mile Creek,4:00 PM,Bird
46,6/11/21,Six Mile Creek,7:00 PM,Bird
47,6/13/21,Six Mile Creek,3:00 PM,Bird
48,6/13/21,Six Mile Creek,3:00 PM,Bird
49,6/13/21,Six Mile Creek,3:00 PM,Bunny
50,6/13/21,Six Mile Creek,4:00 PM,Bird
51,6/14/21,Six Mile Creek,1:00 AM,Raccoon
52,6/14/21,Six Mile Creek,2:00 AM,Raccoon
53,6/14/21,Six Mile Creek,3:00 AM,Mouse
54,6/14/21,Six Mile Creek,6:00 AM,Bird
55,6/14/21,Six Mile Creek,8:00 AM,Raccoon
56,6/14/21,Six Mile Creek,8:00 AM,Chipmunk
57,6/14/21,Six Mile Creek,9:00 AM,Bird
58,6/14/21,Six Mile Creek,1:00 PM,Bird
59,6/14/21,Six Mile Creek,2:00 PM,Bunny
60,6/15/21,Six Mile Creek,3:00 PM,Bird
61,6/15/21,Six Mile Creek,2:00 PM,Bird
62,6/15/21,Six Mile Creek,2:00 PM,Bunny
63,6/14/21,Six Mile Creek,2:00 PM,Bunny
64,6/14/21,Six Mile Creek,3:00 PM,Bird
65,6/14/21,Six Mile Creek,3:00 PM,Bunny
66,6/14/21,Six Mile Creek,4:00 PM,Bird
67,6/14/21,Six Mile Creek,5:00 PM,Bird
68,6/14/21,Six Mile Creek,8:00 PM,Raccoon
69,6/14/21,Six Mile Creek,9:00 PM,Cat
70,6/14/21,Six Mile Creek,10:00 PM,Cat
71,6/14/21,Six Mile Creek,10:00 PM,Cat
72,6/14/21,Six Mile Creek,11:00 PM,Raccoon
73,6/14/21,Six Mile Creek,11:00 PM,Opossum
74,6/15/21,Six Mile Creek,12:00 AM,Raccoon
75,6/15/21,Six Mile Creek,1:00 AM,Opossum
76,6/15/21,Six Mile Creek,7:00 AM,Chipmunk
77,6/15/21,Six Mile Creek,8:00 AM,Bunny
78,6/15/21,Six Mile Creek,9:00 AM,Bunny
79,6/15/21,Six Mile Creek,10:00 AM,Bunny
80,6/15/21,Six Mile Creek,10:00 AM,Chipmunk
81,6/15/21,Six Mile Creek,10:00 AM,Bird
82,6/15/21,Six Mile Creek,10:00 AM,Bunny
83,6/15/21,Six Mile Creek,11:00 AM,Bird
,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,